Student,LPIPS,SSIM
112590056.jpg,0.0,1.0
112590022.jpg,0.26893794536590576,0.6278808695574346
112590004.jpg,0.27169036865234375,0.6701218176053496
111332012.jpg,0.27487415075302124,0.6035844013644637
113378043.jpg,0.2780703008174896,0.6207890108992199
112590009.jpg,0.28729337453842163,0.5945086171628204
112590007.jpg,0.2972971796989441,0.7078012927936967
112590014.jpg,0.30143609642982483,0.629091288465656
112590017.jpg,0.31246230006217957,0.6817847844029944
110590456.jpg,0.3153661787509918,0.6213357123089309
112590060.jpg,0.3290175795555115,0.6780143988351779
112590036.jpg,0.3294905722141266,0.6529566511013809
109810011.jpg,0.3382190465927124,0.6290979597783233
112590044.jpg,0.34134814143180847,0.6079278738951032
112590003.jpg,0.3435356318950653,0.570861704077941
112590030.jpg,0.34415364265441895,0.550616235960565
110590041.jpg,0.34714266657829285,0.5977546326133938
112590057.jpg,0.35206344723701477,0.4919550279171186
112590020.jpg,0.35951581597328186,0.5856498534965429
112590038.jpg,0.36050188541412354,0.6240531025317188
112590026.jpg,0.3703761696815491,0.5540133641542346
112590023.jpg,0.3743780851364136,0.6048105044522681
112590041.jpg,0.37514543533325195,0.6371198490575504
112590012.jpg,0.40192338824272156,0.6292113053878492
112590013.jpg,0.40209272503852844,0.6360168934786377
112590021.jpg,0.40219053626060486,0.48263546711064254
112590035.jpg,0.4080972373485565,0.5253722352644968
111820017.jpg,0.4111175537109375,0.6038594183368114
112590033.jpg,0.41896793246269226,0.6441432184181974
112590029.jpg,0.4200470745563507,0.6174203620968234
112590005.jpg,0.46405747532844543,0.5364796588598811
112590052.jpg,0.46683335304260254,0.4529199166253249
112590051.jpg,0.46761494874954224,0.4191326759480189
112590025.jpg,0.4787125885486603,0.49863532320243215
112ab0053.jpg,0.48711878061294556,0.5923238191214182
112590031.jpg,0.49016571044921875,0.45366469382291735
110820009.jpg,0.5019499659538269,0.5164879865068007
112590053.jpg,0.5169258713722229,0.43832666591913544
112590024.jpg,0.5465325117111206,0.4029626524910845
112590018.jpg,0.5777283906936646,0.36351105317651594
